INDEX,L1_UTM_X,L1_UTM_Y,L1_LON,L1_LAT,R1_UTM_X,R1_UTM_Y,R1_LON,R1_LAT
289,250334.4665,3688303.838,126.3185024,33.30494899,250335.9151,3688302.62,126.3185182,33.30493835
290,250334.6026,3688303.985,126.3185038,33.30495034,250336.0448,3688302.772,126.3185196,33.30493975
291,250334.735,3688304.134,126.3185052,33.30495172,250336.1725,3688302.927,126.3185209,33.30494117
292,250334.8727,3688304.28,126.3185066,33.30495306,250336.3046,3688303.076,126.3185223,33.30494255
293,250335.0102,3688304.425,126.318508,33.3049544,250336.4369,3688303.226,126.3185237,33.30494393
294,250335.1506,3688304.568,126.3185095,33.30495572,250336.569,3688303.376,126.318525,33.30494531
295,250335.2821,3688304.719,126.3185109,33.30495711,250336.6947,3688303.532,126.3185263,33.30494674
296,250335.4145,3688304.868,126.3185122,33.30495849,250336.8207,3688303.688,126.3185277,33.30494818
297,250335.5452,3688305.02,126.3185136,33.30495988,250336.9447,3688303.844,126.3185289,33.30494962
298,250335.6782,3688305.17,126.318515,33.30496127,250337.0728,3688303.997,126.3185303,33.30495102
299,250335.8025,3688305.326,126.3185163,33.3049627,250337.1878,3688304.162,126.3185315,33.30495254
300,250335.936,3688305.475,126.3185177,33.30496408,250337.315,3688304.316,126.3185328,33.30495395
301,250336.0681,3688305.625,126.318519,33.30496546,250337.4403,3688304.472,126.3185341,33.30495539
302,250336.1975,3688305.777,126.3185204,33.30496686,250337.5622,3688304.631,126.3185353,33.30495685
303,250336.3324,3688305.925,126.3185218,33.30496822,250337.6898,3688304.785,126.3185367,33.30495827
304,250336.4662,3688306.074,126.3185232,33.30496959,250337.8158,3688304.94,126.318538,33.30495969
305,250336.5964,3688306.225,126.3185245,33.30497099,250337.9409,3688305.096,126.3185393,33.30496112
306,250336.7393,3688306.366,126.318526,33.30497229,250338.0764,3688305.243,126.3185407,33.30496248
307,250336.8816,3688306.508,126.3185275,33.3049736,250338.213,3688305.388,126.3185421,33.30496382
308,250337.0279,3688306.645,126.3185291,33.30497487,250338.3479,3688305.535,126.3185435,33.30496518
309,250337.1649,3688306.79,126.3185305,33.30497621,250338.4754,3688305.689,126.3185449,33.30496659
