UTM_X,UTM_Y,LAT_DD,LON_DD
250209.604352,3688242.869804,33.3043707221603,126.317179396893
250209.750543,3688242.745033,33.3043696318617,126.317180999975
250209.899145,3688242.618194,33.3043685234893,126.317182629499
250210.040747,3688242.487485,33.3043673786254,126.317184184981
250210.193852,3688242.365141,33.3043663117969,126.317185861581
250210.339783,3688242.236898,33.3043651901552,126.317187462832
250210.489556,3688242.106218,33.3043640474467,126.317189105981
250210.640229,3688241.979203,33.3043629379685,126.317190757775
250210.786093,3688241.845048,33.304361763044,126.317192359939
250210.935609,3688241.715654,33.3043606318627,126.317193999975
250211.087467,3688241.586091,33.3043594997017,126.317195665187
250211.235432,3688241.460796,33.3043584050929,126.317197287449
250211.394248,3688241.348283,33.3043574281656,126.317199022614
250211.56494,3688241.2567,33.3043566425711,126.317200879431
250211.743432,3688241.170001,33.3043559027897,126.317202818593
250211.918049,3688241.094333,33.3043552614994,126.317204713131
250212.093536,3688241.016497,33.3043546008771,126.317206617603
250212.278192,3688240.950316,33.3043540473921,126.317208617241
250212.461563,3688240.878532,33.304353443126,126.317210604638
250212.64538,3688240.807802,33.3043528484599,126.317212596529
250212.834465,3688240.751024,33.3043523807227,126.317214641094
250213.008652,3688240.667786,33.3043516711267,126.317216533108
250213.193628,3688240.619159,33.3043512758776,126.317218531333
250213.379278,3688240.561295,33.3043507975591,126.31722053934
250213.566902,3688240.496971,33.3043502614935,126.317222570312
250213.752983,3688240.430382,33.3043497046625,126.317224585353
250213.943826,3688240.373217,33.3043492338458,126.317226648888
250214.129994,3688240.305444,33.304348666367,126.317228665189
250214.312548,3688240.231006,33.3043480379986,126.317230644552
250214.495027,3688240.152005,33.3043473685001,126.317232624369
250214.672094,3688240.064943,33.3043466251172,126.317234548341
250214.832576,3688239.955532,33.3043456765246,126.317236300525
250215.001234,3688239.849756,33.3043447625788,126.317238139435
250215.175713,3688239.767865,33.3043440651867,126.31724003421
250215.343254,3688239.662874,33.3043431580547,126.317241860917
250215.517669,3688239.57093,33.30434237007,126.31724375778
250215.684233,3688239.466076,33.3043414639458,126.317245573966
250215.846763,3688239.353994,33.3043404917621,126.317247348863
250216.014579,3688239.252587,33.3043396169857,126.317249177531
250216.17005,3688239.13053,33.3043385532906,126.317250879438
250216.324258,3688239.009465,33.3043374982407,126.317252567519
250216.475074,3688238.881871,33.3043363835779,126.317254221005
250216.633404,3688238.764274,33.3043353607302,126.317255952358
250216.795681,3688238.653786,33.3043344028497,126.317257724099
250216.946049,3688238.529242,33.3043333155635,126.317259371937
250217.095032,3688238.408486,33.3043322620863,126.317261003868
250217.250819,3688238.28594,33.3043311940584,126.3172627093
250217.404826,3688238.167443,33.3043301620994,126.317264394515
250217.553206,3688238.034628,33.3043289998305,126.317266023305
250217.714446,3688237.923001,33.304328031447,126.317267784233
250217.864308,3688237.797603,33.3043269363489,126.317269426877
250218.018951,3688237.676705,33.3043258829041,126.317271119579
250218.17053,3688237.54946,33.3043247715625,126.317272781156
250218.314123,3688237.423696,33.3043236717134,126.317274356634
250218.459423,3688237.288932,33.3043224911699,126.317275952913
250218.602496,3688237.154491,33.3043213130203,126.317277525207
250218.747455,3688237.018154,33.3043201182248,126.317279118261
250218.892066,3688236.884343,33.304318946108,126.317280706884
250219.030596,3688236.743805,33.3043177119711,126.317282232114
250219.161698,3688236.601302,33.3043164584076,126.317283678184
250219.306426,3688236.464033,33.3043152551612,126.317285269017
250219.445734,3688236.329329,33.3043140737691,126.317286800984
250219.580441,3688236.192118,33.3043128687222,126.317288284275
250219.71902,3688236.050901,33.3043116284788,126.317289810218
250219.861008,3688235.91404,33.3043104282732,126.317291371538
250220.002895,3688235.785326,33.3043093014489,126.317292929524
250220.14181,3688235.649084,33.3043081061081,126.3172944577
250220.281943,3688235.51414,33.3043069227447,126.317295998585
250220.418054,3688235.371196,33.3043056663687,126.317297498524
250220.560449,3688235.238208,33.3043045011532,126.317299063141
250220.694021,3688235.101164,33.3043032973477,126.317300534207
250220.815557,3688234.946287,33.3043019300765,126.317301881049
250220.957512,3688234.811499,33.3043007485409,126.317303441441
250221.085695,3688234.670681,33.3042995094823,126.317304855725
250221.232668,3688234.538107,33.3042983490581,126.31730646935
250221.374012,3688234.400378,33.3042971408823,126.317308023998
250221.504353,3688234.25451,33.3042958568233,126.317309462831
250221.637083,3688234.11018,33.3042945871756,126.317310926873
250221.767578,3688233.963667,33.3042932973408,126.317312367536
250221.891199,3688233.808513,33.304291928057,126.317313736826
250222.014239,3688233.654087,33.3042905651977,126.317315099682
250222.134693,3688233.502908,33.3042892309945,126.317316433892
250222.248251,3688233.340275,33.304287791992,126.317317697271
250222.362428,3688233.178916,33.3042863646117,126.317318966939
250222.482311,3688233.024723,33.3042850031199,126.317320295855
250222.587273,3688232.862334,33.3042835643232,126.317321466931
250222.697135,3688232.699638,33.3042821238962,126.317322690668
250222.781009,3688232.521928,33.3042805421685,126.317323639699
250222.879229,3688232.350671,33.304279021908,126.31732474088
250222.965611,3688232.175783,33.3042774661879,126.317325716042
