INDEX,UTM_X,UTM_Y,LON,LAT
270,250235.35308803784,3688208.069,126.3174652910595,33.30406313
271,250235.4155,3688207.922887581,126.317466,33.30406183
272,250235.5355909367,3688207.776192554,126.3174673,33.30406054
273,250235.6584123487,3688207.637943852,126.31746868541948,33.30405932
274,250235.7923922033,3688207.5052258368,126.3174701605655,33.30405816
275,250235.93259273167,3688207.376442277,126.3174716994601,33.30405703
276,250236.0834785372,3688207.261076077,126.3174733517108,33.30405602
277,250236.18552420737,3688207.1632364807,126.31747447202548,33.30405517
278,250236.30608059527,3688207.1046870896,126.31747578169468,33.30405467
279,250236.45996603213,3688206.993241929,126.3174774639684,33.3040537
280,250236.55829521408,3688206.8901352976,126.3174785466472,33.3040528
281,250236.7204315129,3688206.842617597,126.3174803012633,33.3040524
282,250236.88582021816,3688206.777458869,126.3174820932133,33.30405185
283,250237.06194729288,3688206.7151607694,126.317484,33.30405133
284,250237.24430803087,3688206.6550160446,126.3174859731053,33.30405083
285,250237.41260381136,3688206.559316628,126.3174878054948,33.30405001
286,250237.57897888808,3688206.4614568255,126.31748961678728,33.30404917
287,250237.73468862564,3688206.366038445,126.3174913,33.30404834
288,250237.90515012929,3688206.2731377296,126.3174931694602,33.30404755
289,250238.06284767605,3688206.184023425,126.3174948865885,33.30404678
290,250238.19479859344,3688206.1125886906,126.3174963217972,33.30404617
291,250238.3333877956,3688205.990467669,126.3174978425656,33.3040451
292,250238.49685221343,3688205.894891936,126.31749962254568,33.30404427
293,250238.66256919896,3688205.8270468335,126.3175014,33.3040437
294,250238.8309908053,3688205.7746957806,126.31750324149068,33.30404327
295,250239.0118350284,3688205.705834799,126.3175052,33.30404269
296,250239.17775458176,3688205.6582597066,126.31750699470868,33.3040423
297,250239.33734058545,3688205.6033123527,126.31750872233948,33.30404184
298,250239.5310890328,3688205.615755545,126.3175107973943,33.304042
299,250239.6876,3688205.606526304,126.3175124791422,33.30404195
300,250239.85127496344,3688205.6075468394,126.3175142351578,33.304042
301,250240.0500479268,3688205.602489559,126.31751636927268,33.304042
302,250240.2334185693,3688205.579189488,126.31751834348908,33.30404183
303,250240.4320516901,3688205.5740274535,126.31752047634468,33.30404183
304,250240.6256409208,3688205.594919765,126.31752254761868,33.30404207
305,250240.81602847745,3688205.625780371,126.3175245819538,33.30404239
306,250240.99981924208,3688205.670432342,126.3175265,33.30404283
307,250241.1899,3688205.702460325,126.3175285733045,33.30404317
308,250241.3680874208,3688205.764923581,126.31753046720688,33.30404377
309,250241.55237135527,3688205.832,126.3175324259726,33.30404442
310,250241.7338765103,3688205.892021225,126.3175344,33.304045
311,250241.91888824897,3688205.9242856456,126.3175363,33.30404533
312,250242.1048,3688205.975000055,126.31753831362668,33.30404583
313,250242.28256470803,3688206.044360989,126.31754020260568,33.3040465
314,250242.45140123036,3688206.124616224,126.317542,33.30404726
315,250242.63534198137,3688206.1833941457,126.3175439493826,33.30404783
316,250242.8114906486,3688206.2487261184,126.3175458209098,33.30404846
317,250242.98598082908,3688206.3331707567,126.3175476704894,33.30404926
318,250243.1671449748,3688206.409286933,126.3175495934892,33.30404999
319,250243.34651299764,3688206.4461036175,126.3175515,33.30405036
320,250243.5187200478,3688206.5258494895,126.3175533333337,33.30405112
321,250243.69724961647,3688206.565904209,126.3175552380956,33.30405153
322,250243.8879522784,3688206.594952976,126.31755727648428,33.30405183
323,250244.08404658144,3688206.6085023102,126.3175593766332,33.304052
324,250244.2833,3688206.603376843,126.3175615158551,33.304052
325,250244.47658109173,3688206.5799062178,126.3175635964254,33.30405183
326,250244.67109986127,3688206.5562484767,126.3175656904762,33.30405167
327,250244.86583248264,3688206.5330459513,126.3175677857143,33.3040515
328,250245.05557047925,3688206.4910987457,126.31756983333328,33.30405117
329,250245.2439,3688206.440563405,126.3175719,33.30405075
330,250245.42994589344,3688206.380971467,126.31757388095268,33.30405026
331,250245.61188885733,3688206.3101199297,126.31757585282328,33.30404967
332,250245.77845194927,3688206.213452389,126.3175777,33.30404883
333,250245.94513790688,3688206.117941369,126.31757948148748,33.30404801
334,250246.0959876496,3688205.995617285,126.3175811338729,33.30404694
335,250246.2496207936,3688205.876,126.31758281535508,33.3040459
336,250246.38746268727,3688205.735337336,126.3175843,33.30404467
337,250246.5144022484,3688205.584968784,126.3175857369075,33.30404334
338,250246.63103255807,3688205.4277287526,126.317587,33.30404195
339,250246.73421446275,3688205.2613241617,126.3175881848612,33.30404048
340,250246.82037826657,3688205.0873426176,126.31758915741028,33.30403893
341,250246.90700674325,3688204.9134393153,126.3175901349209,33.30403738
342,250247.00916968577,3688204.744569391,126.3175912777781,33.30403588
343,250247.10161186443,3688204.572160877,126.3175923,33.30403435
344,250247.19295269807,3688204.398865743,126.3175933454812,33.30403281
345,250247.2638826296,3688204.2171051768,126.31759415633088,33.30403119
346,250247.3440938548,3688204.0406370913,126.3175950655978,33.30402962
347,250247.42095191425,3688203.8601311566,126.31759594032908,33.30402801
348,250247.4763767836,3688203.6706662728,126.3175965873018,33.30402632
349,250247.53468384247,3688203.481901864,126.3175973,33.30402463
350,250247.57681009217,3688203.290609803,126.3175977698412,33.30402292
351,250247.6199119428,3688203.097144252,126.31759828571408,33.30402118
352,250247.6520161196,3688202.9033109634,126.3175986839077,33.30401944
353,250247.66501044968,3688202.705796888,126.3175989,33.30401767
354,250247.67137569748,3688202.5100957113,126.317599,33.3040159
355,250247.66660224888,3688202.312980254,126.317599,33.30401413
356,250247.63940495005,3688202.121,126.3175988,33.30401239
357,250247.60964219447,3688201.928039255,126.3175984992621,33.30401065
358,250247.5412852804,3688201.7418133714,126.3175978160923,33.30400895
359,250247.49800683887,3688201.55,126.3175974047616,33.30400721
360,250247.45457484247,3688201.3569150767,126.3175969933293,33.30400546
361,250247.38837122737,3688201.1750721065,126.3175963,33.30400381
362,250247.33336491443,3688201.009057536,126.31759578600848,33.3040023
363,250247.2882712678,3688200.8307790416,126.3175953528054,33.30400069
364,250247.22880011128,3688200.660031456,126.3175947619047,33.30399913
365,250247.1835912072,3688200.469,126.3175943,33.3039974
366,250247.16387918955,3688200.292571568,126.3175942,33.30399581
367,250247.1466040497,3688200.1024108767,126.3175940354714,33.30399409
368,250247.1078753268,3688199.9269552897,126.3175937,33.3039925
369,250247.10206214487,3688199.7500532735,126.3175936508299,33.3039909
370,250247.0827312549,3688199.553341312,126.3175935,33.30398913
371,250247.0530648621,3688199.364039693,126.3175932322644,33.30398742
372,250247.01136446607,3688199.207,126.3175928,33.30398599
373,250247.00674249703,3688199.015,126.3175928,33.30398426
374,250246.9861675744,3688198.818660356,126.3175927,33.30398249
375,250246.98105095813,3688198.6197653855,126.3175927,33.30398069
376,250246.99376088087,3688198.430282467,126.3175928571786,33.30397899
377,250247.03081050364,3688198.2386110793,126.31759330737648,33.30397727
378,250247.07016777425,3688198.0508696768,126.31759377988308,33.30397559
379,250247.13498679613,3688197.866031612,126.3175945,33.30397394
380,250247.21455389244,3688197.706058708,126.3175954248461,33.30397251
381,250247.3014197304,3688197.529731921,126.3175964,33.30397095
382,250247.42254056613,3688197.3890888887,126.3175977432347,33.30396971
383,250247.55882477417,3688197.254267463,126.31759924334308,33.30396852
384,250247.6857830984,3688197.112983586,126.31760064512488,33.30396728
385,250247.82798549984,3688197.004380519,126.31760219922208,33.30396633
386,250247.9565096933,3688196.8770027775,126.3176036139944,33.30396522
387,250248.1259955825,3688196.7770846095,126.3176054601771,33.30396436
388,250248.2664493828,3688196.6712458953,126.3176069971818,33.30396343
389,250248.40898750385,3688196.5638298257,126.3176085563787,33.3039625
390,250248.5611,3688196.4667284857,126.31761021510668,33.30396166
391,250248.70684331216,3688196.356234594,126.3176118095238,33.3039607
392,250248.85305200907,3688196.2562802336,126.31761340691348,33.30395983
393,250249.02290554103,3688196.1781133935,126.3176152,33.30395917
394,250249.2019934254,3688196.1071370686,126.3176171909656,33.30395857
395,250249.38571464777,3688196.029599085,126.3176191836707,33.30395791
396,250249.57525821088,3688195.9770087777,126.31762123198268,33.30395748
397,250249.7636813245,3688195.933033085,126.3176232659123,33.30395713
398,250249.95895951428,3688195.903764077,126.3176253692598,33.30395691
399,250250.1425804364,3688195.8404177786,126.3176273565877,33.30395638
400,250250.33674175787,3688195.8093520943,126.31762944929548,33.30395615
401,250250.51432469743,3688195.769604548,126.31763136555888,33.30395583
402,250250.68868776303,3688195.714277417,126.3176332513792,33.30395537
403,250250.88197859144,3688195.686332321,126.3176353,33.30395517
404,250251.07506692424,3688195.662947488,126.3176374114207,33.303955
405,250251.26826559144,3688195.634560576,126.3176394925922,33.30395479
406,250251.4598908636,3688195.597284518,126.31764155911908,33.3039545
407,250251.64067912777,3688195.592823261,126.3176435,33.3039545
408,250251.82686136488,3688195.5693465634,126.3176455045608,33.30395433
409,250252.02222073448,3688195.5821668673,126.31764759690408,33.30395449
410,250252.21501177925,3688195.578048737,126.3176497,33.3039545
411,250252.38829773592,3688195.5920040607,126.3176515223535,33.30395467
412,250252.5800407169,3688195.6222796207,126.3176535714289,33.30395498
413,250252.77572407053,3688195.6376163047,126.3176557,33.30395517
414,250252.96237409933,3688195.688452432,126.3176576551652,33.30395567
415,250253.15289173884,3688195.7205374106,126.31765969069248,33.303956
416,250253.3403497644,3688195.7711164737,126.3176616882161,33.3039565
417,250253.5294,3688195.829627969,126.3176637002915,33.30395707
418,250253.71837443384,3688195.888100621,126.31766571234168,33.30395764
419,250253.9070428931,3688195.924034336,126.3176677260829,33.30395801
420,250254.07964319715,3688196.0132664754,126.3176695540084,33.30395885
421,250254.25877716608,3688196.097197765,126.3176714529671,33.30395965
422,250254.4147433264,3688196.198842493,126.3176730985558,33.3039606
423,250254.5818608621,3688196.296733881,126.3176749,33.30396152
424,250254.74303213047,3688196.406777917,126.3176766,33.30396255
425,250254.88954377224,3688196.538107916,126.31767809969809,33.30396377
426,250255.0111584372,3688196.6889289552,126.3176793630339,33.30396516
427,250255.1568154925,3688196.8218905535,126.3176809,33.30396639
428,250255.2877,3688196.9686547695,126.3176822523598,33.30396774
429,250255.4369635691,3688197.098312753,126.3176838185189,33.30396894
430,250255.5888844028,3688197.2230190383,126.3176854143073,33.3039701
431,250255.7462356458,3688197.336120948,126.3176870714282,33.30397116
432,250255.9146765087,3688197.4374343087,126.3176888507261,33.30397211
433,250256.08424078504,3688197.536888368,126.3176906428568,33.30397305
434,250256.2596503628,3688197.6268204246,126.31769249999968,33.3039739
435,250256.44762893088,3688197.688917357,126.3176945,33.3039745
436,250256.6250758597,3688197.772438001,126.3176963809524,33.30397529
437,250256.81402177783,3688197.8353989376,126.3176983909486,33.3039759
438,250257.0016224644,3688197.8984006634,126.31770038652068,33.30397652
439,250257.1907208962,3688197.962248127,126.3177023979437,33.30397713
440,250257.38299726744,3688198.005744919,126.3177044490491,33.30397757
441,250257.5731970536,3688198.066037664,126.3177064732596,33.30397816
442,250257.7643628968,3688198.117600688,126.3177085099261,33.30397867
443,250257.95564490155,3688198.16,126.3177105509509,33.3039791
444,250258.1437980196,3688198.2204301856,126.3177125531877,33.30397968
445,250258.3227715588,3688198.300442304,126.3177144514994,33.30398044
446,250258.50949090184,3688198.363129165,126.3177164374871,33.30398105
447,250258.68826959544,3688198.445187279,126.3177183,33.30398183
448,250258.86777002728,3688198.5226539215,126.3177202380952,33.30398257
449,250259.03675542228,3688198.6223300686,126.3177220236553,33.30398351
450,250259.20864908688,3688198.7216047407,126.31772384074108,33.30398444
451,250259.36455154943,3688198.8336515175,126.31772548260788,33.30398549
452,250259.5204688224,3688198.951,126.3177271233668,33.30398658
453,250259.6669,3688199.083914988,126.3177286574556,33.30398782
454,250259.79805299727,3688199.233190243,126.3177300238096,33.30398919
455,250259.92041820625,3688199.389476976,126.31773129365108,33.30399063
456,250260.03407192288,3688199.5521537727,126.3177325,33.30399212
457,250260.1303785767,3688199.7240817775,126.3177334540785,33.30399369
458,250260.2153754236,3688199.898857968,126.3177343179159,33.30399528
459,250260.26830120903,3688200.090258788,126.3177348,33.30399702
460,250260.32117755897,3688200.2755107465,126.3177353,33.3039987
461,250260.37130177688,3688200.465716121,126.3177358,33.30400043
462,250260.40737011848,3688200.658867846,126.3177362,33.30400218
463,250260.4278180381,3688200.855375931,126.3177363,33.30400395
464,250260.44831942112,3688201.0489141615,126.3177365,33.3040057
465,250260.4538117004,3688201.243151981,126.3177365042472,33.30400745
466,250260.4584,3688201.442406037,126.3177365,33.30400925
467,250260.4637715116,3688201.6408251487,126.3177365,33.30401104
468,250260.45314042168,3688201.837411263,126.3177363,33.30401281
469,250260.42689333516,3688202.0314418417,126.317736,33.30401455
470,250260.40248204512,3688202.224,126.31773568390769,33.30401628
471,250260.3747623988,3688202.418501617,126.3177353,33.30401802
472,250260.35693486297,3688202.6145200073,126.31773508892148,33.30401979
473,250260.3259,3688202.8086590087,126.31773469970868,33.30402153
474,250260.30604545007,3688203.003,126.3177344344022,33.30402328
475,250260.3019318788,3688203.200243576,126.3177343,33.30402505
476,250260.29128321464,3688203.397802263,126.3177342,33.30402683
477,250260.29639320783,3688203.596450036,126.3177342,33.30402862
478,250260.30134366849,3688203.7947686575,126.3177342,33.30403041
479,250260.3220375604,3688203.989531776,126.3177343,33.30403217
480,250260.34422274312,3688204.1870133807,126.3177345158371,33.30403395
481,250260.38034100004,3688204.3823922607,126.3177348505738,33.30403572
482,250260.4140269553,3688204.576,126.3177351583706,33.30403748
483,250260.46197523008,3688204.7676455546,126.3177356197858,33.30403921
484,250260.52513626893,3688204.9554468016,126.3177362460318,33.30404092
485,250260.6072065869,3688205.1341768815,126.3177370783634,33.30404255
486,250260.69419669177,3688205.302051856,126.3177379667063,33.30404408
487,250260.76718496857,3688205.4798752232,126.3177387,33.3040457
488,250260.87108542383,3688205.6492115296,126.3177397665776,33.30404725
489,250260.96972188345,3688205.819314636,126.3177407774301,33.3040488
