X(E/m),Y(N/m)
330185.074378518329468,4156658.769148810300976
330185.074378518329468,4156658.769148810300976
330185.074378518329468,4156658.769148810300976
330185.074378518329468,4156658.769148810300976
330185.074378518329468,4156658.769148810300976
330185.074151609209366,4156658.758052846416831
330185.091595556354150,4156658.746595517732203
330185.118328755488619,4156658.757149436976761
330185.155031926697120,4156658.823002496734262
330185.192869644612074,4156658.944335380569100
330185.223233384080231,4156659.132424731738865
330185.254731667111628,4156659.375993904657662
330185.278302156424616,4156659.664127619471401
330185.302780280355364,4156659.996645191218704
330185.327712223399431,4156660.351354693993926
330185.352644163300283,4156660.706064194440842
330185.368513766501565,4156661.049858414568007
330185.384383369470015,4156661.393652633763850
330185.408634580380749,4156661.715074241161346
330185.424050364701543,4156662.036676534451544
330185.447620847437065,4156662.324810248333961
330185.453520478913561,4156662.613305326085538
330185.476864053984173,4156662.890343078412116
330185.491145292297006,4156663.156465545762330
330185.505426528165117,4156663.422588014043868
330185.528543192311190,4156663.688529799692333
330185.551206035481300,4156663.932279658969492
330185.574095786781982,4156664.187125480268151
330185.606047869310714,4156664.452886586543173
330185.628937621018849,4156664.707732409704477
330185.660435883444734,4156664.951301585417241
330185.683098722249269,4156665.195051443763077
330185.705988468893338,4156665.449897265527397
330185.737486727884971,4156665.693466442171484
330185.760149566282053,4156665.937216302379966
330185.782812401535921,4156666.180966160260141
330185.805248327320442,4156666.413620054721832
330185.827457343577407,4156666.635177983436733
330185.849666359194089,4156666.856735914014280
330185.880937705282122,4156667.089209128171206
330185.912209047935903,4156667.321682340931147
330185.935098786721937,4156667.576528163626790
330185.967050852894317,4156667.842289271764457
330185.999229826207738,4156668.119146342389286
330186.022573381371330,4156668.396184096578509
330186.046143841929734,4156668.684317815583199
330186.078322811517864,4156668.961174888536334
330186.101893270039000,4156669.249308607541025
330186.125236819207203,4156669.526346360333264
330186.157642695761751,4156669.814299398567528
330186.190048568474595,4156670.102252436336130
330186.231289856601506,4156670.390024793799967
330186.281139653059654,4156670.666520505677909
330186.348660277028102,4156670.942654854152352
330186.442460239049979,4156671.207151197362691
330186.562766442773864,4156671.471105500590056
330186.700516564538702,4156671.723602476995438
330186.864546013763174,4156671.964461450465024
330187.046019378351048,4156672.193863102234900
330187.244936655217316,4156672.411807431373745
330187.470133255817927,4156672.618113759905100
330187.721609185799025,4156672.812782093416899
330187.981466703116894,4156672.985077824909240
330188.259221945190802,4156673.168108170386404
330188.518852534238249,4156673.329307953827083
330188.796153942064848,4156673.490146387368441
330189.073228434077464,4156673.639888865407556
330189.350529818097129,4156673.800727315712720
330189.618995780358091,4156673.961746453307569
330189.887461729813367,4156674.122765599749982
330190.138483749295119,4156674.295242073014379
330190.372288737678900,4156674.490271836053580
330190.588649793760851,4156674.696758924517781
330190.796402330102865,4156674.914522657636553
330190.986484032473527,4156675.132647749036551
330191.150740195298567,4156675.384602765552700
330191.306160939857364,4156675.636738460976630
330191.452519360464066,4156675.877958871889859
330191.581660755327903,4156676.141732564195991
330191.702193633827846,4156676.416782898362726
330191.822499603615142,4156676.680737270507962
330191.925361648201942,4156676.956148958764970
330192.019388277316466,4156677.231741323601454
330192.113187999697402,4156677.496237724553794
330192.207441518781707,4156677.782926055137068
330192.301468131074216,4156678.058518422301859
330192.386659327428788,4156678.334291466511786
330192.454406605917029,4156678.621521825436503
330192.513318473065738,4156678.908932857681066
330192.554332619358320,4156679.185609275475144
330192.578129751142114,4156679.484838973265141
330192.584029168065172,4156679.773334055207670
330192.581093179062009,4156680.062009811867028
330192.542815566936042,4156680.351408268325031
330192.468742531491444,4156680.619337493088096
330192.376998690539040,4156680.887628070078790
330192.285481757309753,4156681.167014612816274
