X(E/m),Y(N/m)
330176.910398307372816,4156657.637332941871136
330176.910398307372816,4156657.637332941871136
330176.910171387484297,4156657.626236978918314
330176.909944467595778,4156657.615141013171524
330176.909717547590844,4156657.604045047890395
330176.909490627644118,4156657.592949084006250
330176.909490627644118,4156657.592949084006250
330176.900428274588194,4156657.582033809740096
330176.900201354641467,4156657.570937845390290
330176.900201354641467,4156657.570937845390290
330176.899974434752949,4156657.559841881506145
330176.899747514689807,4156657.548745915759355
330176.899747514689807,4156657.548745915759355
330176.899520594743080,4156657.537649950943887
330176.899520594743080,4156657.537649950943887
330176.890458246110938,4156657.526734677143395
330176.890231326164212,4156657.515638712327927
330176.881395895266905,4156657.515819402877241
330176.846961849601939,4156657.560926023870707
330176.785794594092295,4156657.595478752162308
330176.724854256957769,4156657.641127445269376
330176.655078489915468,4156657.686956830322742
330176.603427427879069,4156657.754616762977093
330176.533878582878970,4156657.811542112845927
330176.482000599848107,4156657.868106083013117
330176.403843248961493,4156657.936308089178056
330176.343810599471908,4156658.026340644806623
330176.310284244362265,4156658.115831126924604
330176.197239016182721,4156658.206947830505669
330176.137433291994967,4156658.308076350484043
330176.042285849573091,4156658.409927639178932
330175.947365330765024,4156658.522874893154949
330175.852444814576302,4156658.635822147130966
330175.739172676927410,4156658.715842892881483
330175.662149948941078,4156658.839524731040001
330175.567229440435767,4156658.952471989206970
330175.463246583240107,4156659.054503976367414
330175.359263728547376,4156659.156535963993520
330175.212011418188922,4156659.303855273872614
330175.108028569840826,4156659.405887266620994
330175.013108075479977,4156659.518834531772882
330174.909352155169472,4156659.631962491199374
330174.787698457541410,4156659.734355872496963
330174.675560960662551,4156659.869856457225978
330174.554588039231021,4156660.005537736695260
330174.372901739960071,4156660.197963693644851
330174.225649465923198,4156660.345283023081720
330174.087459551286884,4156660.503517626784742
330173.949269641889259,4156660.661752233281732
330173.819915165426210,4156660.819806147832423
330173.621238820662256,4156661.045881405007094
330173.483502776944079,4156661.226307948585600
330173.276217949809507,4156661.463659874629229
330173.147544274921529,4156661.655001694802195
330173.036541459150612,4156661.845982126891613
330172.907640868332237,4156662.026227988302708
330172.778513359720819,4156662.195377885363996
330172.607024135650136,4156662.454198979306966
330172.444597272202373,4156662.723935346119106
330172.342429913464002,4156662.914735094644129
330172.240262559615076,4156663.105534844100475
330172.129032859054860,4156663.285419326275587
330172.017803163616918,4156663.465303809382021
330171.846313989255577,4156663.724124921951443
330171.735311233496759,4156663.915105373598635
330171.572884429537226,4156664.184841760434210
330171.470717110729311,4156664.375641521532089
330171.359260517463554,4156664.544430050067604
330171.230360010056756,4156664.724675938952714
330171.119130354956724,4156664.904560437891632
330170.947641240665689,4156665.163381570018828
330170.767316714744084,4156665.422383404336870
330170.664922502241097,4156665.602087210398167
330170.544630520802457,4156665.771056449972093
330170.415730051463470,4156665.951302352827042
330170.304500431753695,4156666.131186864338815
330170.141619862173684,4156666.378731352277100
330169.970130813249853,4156666.637552507687360
330169.798641773173586,4156666.896373667754233
330169.696474531898275,4156667.087173455394804
330169.594080365088303,4156667.266877276357263
330169.483077713055536,4156667.457857763394713
330169.311361775617115,4156667.705582970287651
330169.148935133242048,4156667.975319410674274
330168.986735431069974,4156668.256151820998639
330168.875732807384338,4156668.447132317814976
330168.713079261011444,4156668.705772803165019
330168.602076650247909,4156668.896753304172307
330168.439423121977597,4156669.155393795575947
330168.286058889818378,4156669.436045521870255
330168.132467733637895,4156669.705601284746081
330167.979103523073718,4156669.986253017559648
330167.868100947816856,4156670.177233530674130
330167.766160728700925,4156670.379129308275878
330167.603961124783382,4156670.659961748868227
330167.441534598707221,4156670.929698228370398
330167.279561953619123,4156671.221626642160118
330167.168559412704781,4156671.412607165053487
330167.066619227407500,4156671.614502953365445
330166.964452113257721,4156671.805302779190242
330166.811087984940968,4156672.085954535286874
330166.657269995892420,4156672.344414366409183
330166.511606627202127,4156672.569405602291226
330166.382479423191398,4156672.738555611576885
330166.339210088655818,4156672.783842984121293
330166.312703841307666,4156672.784385090228170
330166.303641491045710,4156672.773469827603549
330166.295486881863326,4156672.806938425637782
330166.226845979923382,4156672.908247730694711
330166.123998095979914,4156673.065759670920670
330166.047202588641085,4156673.200537575874478
330165.910374669183511,4156673.425348121207207
330165.764711341122165,4156673.650339374318719
330165.602058004529681,4156673.908979929983616
330165.430796199128963,4156674.178897156845778
330165.268369818746578,4156674.448633685242385
330165.097108036279678,4156674.718550920020789
330164.977043246559333,4156674.898616216145456
330164.805781485862099,4156675.168533458840102
330164.668045882601291,4156675.348960166331381
330164.470050965552218,4156675.608323565218598
330164.289726887014695,4156675.867325558792800
330164.100567406450864,4156676.126508261077106
330163.920243349333759,4156676.385510264430195
330163.722248481819406,4156676.644873682409525
330163.532862098421901,4156676.892960434779525
330163.403961965814233,4156677.073206461500376
330163.214348662586417,4156677.310197254642844
330163.024735370359849,4156677.547188055235893
330162.843957501405384,4156677.783998153172433
330162.654571169405244,4156678.032084928359836
330162.473793322104029,4156678.268895036075264
330162.302304774231743,4156678.527716370299459
